2024-05-06 16:29:31 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue', ssl=False)
2024-05-06 16:29:32 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m84749[0m]
2024-05-06 16:29:32 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2024-05-06 16:29:32 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2024-05-06 16:29:32 | ERROR | stderr | [31mERROR[0m:    [Errno 99] error while attempting to bind on address ('::1', 21001, 0, 0): cannot assign requested address
2024-05-06 16:29:32 | ERROR | stderr | [32mINFO[0m:     Waiting for application shutdown.
2024-05-06 16:29:32 | ERROR | stderr | [32mINFO[0m:     Application shutdown complete.
2024-05-06 16:30:51 | ERROR | stderr | Exception ignored in: <module 'threading' from '/cpfs01/user/liujiangning/.conda/envs/agent-bench/lib/python3.9/threading.py'>
2024-05-06 16:30:51 | ERROR | stderr | Traceback (most recent call last):
2024-05-06 16:30:51 | ERROR | stderr |   File "/cpfs01/user/liujiangning/.conda/envs/agent-bench/lib/python3.9/threading.py", line 1477, in _shutdown
2024-05-06 16:30:51 | ERROR | stderr |     lock.acquire()
2024-05-06 16:30:51 | ERROR | stderr | KeyboardInterrupt:
2024-05-06 16:33:15 | INFO | controller | args: Namespace(host='127.0.0.1', port=21001, dispatch_method='shortest_queue', ssl=False)
2024-05-06 16:33:15 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m86335[0m]
2024-05-06 16:33:15 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2024-05-06 16:33:15 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2024-05-06 16:33:15 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://127.0.0.1:21001[0m (Press CTRL+C to quit)
2024-05-06 16:34:24 | ERROR | stderr | [32mINFO[0m:     Shutting down
2024-05-06 16:34:24 | ERROR | stderr | [32mINFO[0m:     Waiting for application shutdown.
2024-05-06 16:34:24 | ERROR | stderr | [32mINFO[0m:     Application shutdown complete.
2024-05-06 16:34:24 | ERROR | stderr | [32mINFO[0m:     Finished server process [[36m86335[0m]
2024-05-06 16:34:31 | ERROR | stderr | Exception ignored in: <module 'threading' from '/cpfs01/user/liujiangning/.conda/envs/agent-bench/lib/python3.9/threading.py'>
2024-05-06 16:34:31 | ERROR | stderr | Traceback (most recent call last):
2024-05-06 16:34:31 | ERROR | stderr |   File "/cpfs01/user/liujiangning/.conda/envs/agent-bench/lib/python3.9/threading.py", line 1477, in _shutdown
2024-05-06 16:34:31 | ERROR | stderr |     lock.acquire()
2024-05-06 16:34:31 | ERROR | stderr | KeyboardInterrupt:
2024-05-06 08:44:03 | INFO | controller | args: Namespace(host='127.0.0.1', port=21001, dispatch_method='shortest_queue', ssl=False)
2024-05-06 08:44:03 | ERROR | stderr | INFO:     Started server process [17]
2024-05-06 08:44:03 | ERROR | stderr | INFO:     Waiting for application startup.
2024-05-06 08:44:03 | ERROR | stderr | INFO:     Application startup complete.
2024-05-06 08:44:03 | ERROR | stderr | INFO:     Uvicorn running on http://127.0.0.1:21001 (Press CTRL+C to quit)
2024-05-06 08:44:22 | INFO | controller | Register a new worker: http://localhost:21002
2024-05-06 08:44:22 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['3321f76e3f527bd14065daf69dad9344000a201d'], 'speed': 1, 'queue_length': 0}
2024-05-06 08:44:22 | INFO | stdout | INFO:     127.0.0.1:49142 - "POST /register_worker HTTP/1.1" 200 OK
2024-05-06 08:45:07 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:45:07 | INFO | stdout | INFO:     127.0.0.1:52352 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:45:52 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:45:52 | INFO | stdout | INFO:     127.0.0.1:55522 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:46:37 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:46:37 | INFO | stdout | INFO:     127.0.0.1:58688 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:47:22 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:47:22 | INFO | stdout | INFO:     127.0.0.1:33630 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:48:07 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:48:07 | INFO | stdout | INFO:     127.0.0.1:36804 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:48:52 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:48:52 | INFO | stdout | INFO:     127.0.0.1:40036 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:49:37 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:49:37 | INFO | stdout | INFO:     127.0.0.1:43286 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:50:22 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:50:22 | INFO | stdout | INFO:     127.0.0.1:46456 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:51:07 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:51:07 | INFO | stdout | INFO:     127.0.0.1:49646 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:51:52 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:51:52 | INFO | stdout | INFO:     127.0.0.1:52814 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:52:37 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:52:37 | INFO | stdout | INFO:     127.0.0.1:55990 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:53:22 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:53:22 | INFO | stdout | INFO:     127.0.0.1:59158 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:54:07 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:54:07 | INFO | stdout | INFO:     127.0.0.1:34158 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:54:52 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:54:52 | INFO | stdout | INFO:     127.0.0.1:37382 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:55:37 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:55:37 | INFO | stdout | INFO:     127.0.0.1:40548 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:56:22 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:56:22 | INFO | stdout | INFO:     127.0.0.1:43716 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:57:07 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:57:07 | INFO | stdout | INFO:     127.0.0.1:46890 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:57:52 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:57:52 | INFO | stdout | INFO:     127.0.0.1:50062 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:58:38 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:58:38 | INFO | stdout | INFO:     127.0.0.1:53230 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 08:59:23 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 08:59:23 | INFO | stdout | INFO:     127.0.0.1:56490 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:00:08 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:00:08 | INFO | stdout | INFO:     127.0.0.1:59688 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:00:53 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:00:53 | INFO | stdout | INFO:     127.0.0.1:34618 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:01:38 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:01:38 | INFO | stdout | INFO:     127.0.0.1:37796 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:02:23 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:02:23 | INFO | stdout | INFO:     127.0.0.1:40966 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:03:08 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:03:08 | INFO | stdout | INFO:     127.0.0.1:44132 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:03:53 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:03:53 | INFO | stdout | INFO:     127.0.0.1:47296 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:04:38 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:04:38 | INFO | stdout | INFO:     127.0.0.1:50506 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:05:23 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:05:23 | INFO | stdout | INFO:     127.0.0.1:53724 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:06:08 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:06:08 | INFO | stdout | INFO:     127.0.0.1:56928 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:06:53 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:06:53 | INFO | stdout | INFO:     127.0.0.1:60094 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:07:38 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:07:38 | INFO | stdout | INFO:     127.0.0.1:35036 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:08:23 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:08:23 | INFO | stdout | INFO:     127.0.0.1:38204 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:09:08 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:09:08 | INFO | stdout | INFO:     127.0.0.1:41374 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:09:53 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:09:53 | INFO | stdout | INFO:     127.0.0.1:44594 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:10:38 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:10:38 | INFO | stdout | INFO:     127.0.0.1:47798 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:11:23 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:11:23 | INFO | stdout | INFO:     127.0.0.1:51018 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:12:08 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:12:08 | INFO | stdout | INFO:     127.0.0.1:54186 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:12:53 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:12:53 | INFO | stdout | INFO:     127.0.0.1:57352 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:13:38 | INFO | controller | Receive heart beat. http://localhost:21002
2024-05-06 09:13:38 | INFO | stdout | INFO:     127.0.0.1:60520 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-06 09:14:23 | INFO | controller | Receive heart beat. http://localhost:21002
